gameid,Blue_bot_champion,Blue_jng_champion,Blue_mid_champion,Blue_sup_champion,Blue_top_champion,Red_bot_champion,Red_jng_champion,Red_mid_champion,Red_sup_champion,Red_top_champion,Blue_bot_player_champ_wr,Blue_jng_player_champ_wr,Blue_mid_player_champ_wr,Blue_sup_player_champ_wr,Blue_top_player_champ_wr,Red_bot_player_champ_wr,Red_jng_player_champ_wr,Red_mid_player_champ_wr,Red_sup_player_champ_wr,Red_top_player_champ_wr,Blue_bot_player_recent_form,Blue_jng_player_recent_form,Blue_mid_player_recent_form,Blue_sup_player_recent_form,Blue_top_player_recent_form,Red_bot_player_recent_form,Red_jng_player_recent_form,Red_mid_player_recent_form,Red_sup_player_recent_form,Red_top_player_recent_form,Blue_bot_champ_meta_wr,Blue_jng_champ_meta_wr,Blue_mid_champ_meta_wr,Blue_sup_champ_meta_wr,Blue_top_champ_meta_wr,Red_bot_champ_meta_wr,Red_jng_champ_meta_wr,Red_mid_champ_meta_wr,Red_sup_champ_meta_wr,Red_top_champ_meta_wr,Blue_Team_Strength,Red_Team_Strength,blue_win_label
LOLTMNT01_116347,Kalista,Xin Zhao,Hwei,Neeko,Gwen,Draven,Sejuani,Brand,Rell,Aatrox,0.75,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,0.0,0.4444444444444444,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.48,0.42,0.5,0.7391304347826086,0.55,0.3333333333333333,0.52,0.5,0.38,0.5,0.48611111111111116,0.48188405797101447,0
LOLTMNT01_116374,Varus,Maokai,Tristana,Leona,Rumble,Kalista,Vi,Taliyah,Neeko,K'Sante,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.4,1.0,0.25,0.6,1.0,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.54,0.56,0.5348837209302325,0.46153846153846156,0.46808510638297873,0.48,0.52,0.58,0.7083333333333334,0.44,0.782051282051282,0.5378787878787878,1
LOLTMNT01_116404,Kai'Sa,Nidalee,Taliyah,Leona,Renekton,Jhin,Xin Zhao,Corki,Alistar,Rumble,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.4,0.5,0.46875,0.5555555555555556,0.58,0.48148148148148145,0.46,0.2222222222222222,0.42,0.5333333333333333,0.5555555555555556,0.4791666666666667,0.08333333333333333,0.51,0
LOLTMNT01_116414,Varus,Nidalee,Corki,Leona,Rumble,Jhin,Sejuani,Syndra,Nautilus,Pantheon,0.8333333333333334,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.6,0.6,0.6,0.6,0.5,1.0,1.0,1.0,1.0,1.0,0.54,0.5,0.5483870967741935,0.4642857142857143,0.4897959183673469,0.3,0.52,0.6,0.54,0.5,0.611111111111111,0.8782051282051281,1
LOLTMNT01_116435,Jhin,Nidalee,Corki,Rell,Renekton,Varus,Xin Zhao,Syndra,Ashe,Jax,0.5,0.0,0.6666666666666666,0.0,0.6666666666666666,0.8,0.8333333333333334,0.5,0.5,0.0,0.5,0.2,0.2,0.4,0.2,0.4,0.4,0.6,0.4,0.5,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.4,0.46,0.54,0.42,0.5,0.38235294117647056,0.64,0.47722567287784673,0.432962962962963,1
LOLTMNT01_118453,Ashe,Vi,Corki,Rell,Rumble,Kalista,Lee Sin,Taliyah,Nautilus,Kennen,0.5,0.5,0.5,0.0,0.0,0.5,0.6666666666666666,0.25,0.75,0.5,0.2,0.2,0.2,0.2,0.4,0.5,0.2,0.4,0.2,0.2,0.3939393939393939,0.5,0.5625,0.4,0.5,0.48,0.46,0.56,0.52,0.5,0.37775978407557353,0.5332138590203106,0
LOLTMNT01_118461,Sivir,Nocturne,Orianna,Leona,Jax,Varus,Taliyah,Akali,Nautilus,K'Sante,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.25,0.0,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.2,0.2,0.2,0.5,0.5,0.5,0.4827586206896552,0.64,0.54,0.58,0.5555555555555556,0.52,0.42,0.4352678571428571,0.36764705882352944,1
LOLTMNT01_119027,Kalista,Skarner,Ahri,Rell,Olaf,Varus,Sejuani,Corki,Rakan,Rumble,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.75,1.0,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.8,1.0,1.0,0.8,0.8,0.5,0.6666666666666666,0.52,0.4,0.5806451612903226,0.54,0.5,0.5588235294117647,0.62,0.48,0.6468253968253969,0.7870370370370371,1
LOLTMNT01_119080,Ezreal,Maokai,Corki,Ashe,Kennen,Jhin,Karthus,Jayce,Nautilus,Rumble,0.5,0.8333333333333334,0.75,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.6,0.6,0.6,0.6,0.6666666666666666,0.0,0.0,0.2,0.0,0.2,0.1111111111111111,0.58,0.5277777777777778,0.37142857142857144,0.6,0.3333333333333333,0.4,0.6363636363636364,0.54,0.46,0.6454248366013072,0.3634920634920635,1
LOLTMNT01_119089,Ashe,Lee Sin,LeBlanc,Leona,Twisted Fate,Varus,Volibear,Ahri,Nautilus,Rumble,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.46,0.4444444444444444,0.46875,0.3,0.54,0.45454545454545453,0.52,0.54,0.46,0.3055555555555555,0.3696581196581197,0
LOLTMNT01_119107,Varus,Viego,Taliyah,Leona,Akali,Jhin,Lillia,Tristana,Nautilus,Camille,0.6666666666666666,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.2,0.3333333333333333,0.4,0.4,0.4,0.4,0.4,0.54,0.37037037037037035,0.58,0.45454545454545453,0.5,0.3076923076923077,0.5,0.5555555555555556,0.54,0.6,0.39398174924490714,0.4580962885560586,0
LOLTMNT01_119127,Ashe,Nidalee,Corki,Alistar,Aatrox,Varus,Viego,Azir,Nautilus,Camille,0.5,0.5,1.0,1.0,0.5,0.75,0.0,1.0,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3783783783783784,0.5833333333333334,0.5405405405405406,0.5675675675675675,0.5,0.52,0.35714285714285715,0.52,0.56,0.6363636363636364,0.6239316239316239,0.5245098039215687,1
LOLTMNT01_119839,Varus,Viego,Hwei,Leona,K'Sante,Lucian,Xin Zhao,LeBlanc,Nami,Jax,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.2,0.2,0.5,0.3448275862068966,0.48,0.4411764705882353,0.4,0.52,0.42,0.42105263157894735,0.5641025641025641,0.62,0.08333333333333333,0.3201754385964912,0
LOLTMNT01_119888,Jhin,Taliyah,Tristana,Nautilus,K'Sante,Varus,Jarvan IV,Hwei,Rell,Rumble,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6,0.6,0.6,0.6,0.6,0.75,0.6,0.6,0.6,0.6,0.35714285714285715,0.56,0.5652173913043478,0.56,0.38,0.48,0.35,0.46,0.42,0.46,0.47817460317460314,0.596873911529084,1
LOLTMNT01_119935,Ashe,Xin Zhao,Taliyah,Alistar,Rumble,Corki,Sejuani,Sylas,Nautilus,Camille,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.4444444444444444,1.0,0.75,0.75,0.75,0.6,0.75,0.8,0.8,0.8,0.8,0.8,0.39473684210526316,0.44,0.58,0.5789473684210527,0.44,0.5526315789473685,0.48,0.0,0.58,0.5833333333333334,0.6820987654320988,0.5166666666666667,0
LOLTMNT01_120003,Draven,Udyr,Hwei,Nautilus,Skarner,Nilah,Sejuani,Corki,Leona,Mordekaiser,0.75,0.5,0.25,0.375,0.5,0.5,0.5,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.42857142857142855,0.48,0.52,0.7,0.5,0.5,0.5428571428571428,0.5,0.5,0.5,0.08333333333333333,1
LOLTMNT01_120013,Kalista,Ivern,Tristana,Nautilus,Skarner,Varus,Karthus,Jayce,Leona,K'Sante,1.0,0.5,1.0,0.7777777777777778,0.5,0.5,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.4,0.4,0.4,0.4,0.6666666666666666,0.4,0.4,0.4,0.4,0.52,0.5714285714285714,0.5454545454545454,0.52,0.7272727272727273,0.54,0.5,0.7,0.4838709677419355,0.4,0.5724206349206349,0.5191570881226054,1
LOLTMNT01_120843,Ziggs,Ivern,Tristana,Leona,Renekton,Kalista,Taliyah,Yone,Rell,Twisted Fate,0.5,1.0,0.5,0.0,0.7142857142857143,1.0,0.5,0.5,0.3333333333333333,1.0,0.5,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.75,0.6,0.6,0.574468085106383,0.42857142857142855,0.48,0.52,0.58,0.6,0.42,0.2857142857142857,0.47888888888888886,0.6654761904761904,0
LOLTMNT01_120885,Varus,Nocturne,Orianna,Rell,Rumble,Jhin,Jarvan IV,Ahri,Alistar,Camille,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.8,0.75,0.75,0.48,0.5172413793103449,0.52,0.44,0.44,0.4,0.3333333333333333,0.52,0.5641025641025641,0.6153846153846154,0.5119047619047619,0.7055555555555556,1
LOLTMNT01_120907,Corki,Nocturne,Orianna,Leona,Renekton,Varus,Maokai,Akali,Nautilus,K'Sante,0.5,0.5,0.4,1.0,0.0,0.75,1.0,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.75,0.75,0.6,0.6,0.5641025641025641,0.5333333333333333,0.52,0.4166666666666667,0.46,0.48,0.58,0.45454545454545453,0.6,0.38,0.3505932339265672,0.6904761904761906,1
LOLTMNT01_120912,Varus,Rek'Sai,Ahri,Nautilus,Twisted Fate,Ashe,Sejuani,Hwei,Alistar,Camille,0.6666666666666666,0.5,1.0,0.5,0.5,0.5,0.2,0.5,0.5,1.0,0.4,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.25,0.46,0.45161290322580644,0.52,0.6,0.3181818181818182,0.38461538461538464,0.5,0.46,0.55,0.5714285714285714,0.48809523809523814,0.36980920314253646,1
LOLTMNT01_126307,Jinx,Vi,Ahri,Leona,Skarner,Zeri,Xin Zhao,Taliyah,Nautilus,Rumble,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.2,0.6,0.2,0.2,0.2,0.8,0.8,0.8,0.8,1.0,0.4594594594594595,0.48,0.54,0.43243243243243246,0.75,0.5,0.42,0.58,0.6,0.46,0.509035589157293,0.48268398268398266,1
LOLTMNT01_126335,Varus,Maokai,Azir,Nautilus,K'Sante,Ashe,Sejuani,Ahri,Braum,Renekton,0.8571428571428571,0.8,0.6,0.6363636363636364,0.5,0.5,0.4,0.5,1.0,0.5,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.46,0.58,0.5,0.58,0.36,0.375,0.5,0.56,0.6842105263157895,0.46,0.6470588235294118,0.3277777777777778,1
LOLTMNT01_126366,Xayah,Sejuani,Hwei,Rakan,Camille,Lucian,Xin Zhao,LeBlanc,Nami,Urgot,0.6666666666666666,1.0,0.75,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.4,0.5,0.5555555555555556,0.5,0.44,0.6,0.5333333333333333,0.54,0.42,0.45,0.575,0.5,0.5198412698412699,0.4419191919191919,1
LOLTMNT01_126394,Jhin,Maokai,Tristana,Rell,Twisted Fate,Jinx,Taliyah,Corki,Nautilus,K'Sante,1.0,1.0,0.5,0.3333333333333333,0.0,0.8,0.5,0.5,0.6,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.375,0.58,0.5625,0.44,0.34782608695652173,0.47368421052631576,0.58,0.575,0.6,0.36,0.6666666666666666,0.6277777777777778,1
LOLTMNT01_126415,Jhin,Kindred,Hwei,Rell,Darius,Varus,Jarvan IV,Ahri,Alistar,Twisted Fate,0.0,0.5,0.0,1.0,1.0,0.4,0.5,0.75,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4117647058823529,0.5,0.44,0.46,0.8,0.48,0.3181818181818182,0.54,0.5365853658536586,0.375,0.4242424242424243,0.5568181818181819,0
LOLTMNT01_126779,Xayah,Xin Zhao,Azir,Rakan,Skarner,Kai'Sa,Vi,Taliyah,Leona,Aatrox,0.5714285714285714,0.16666666666666666,0.5555555555555556,0.8333333333333334,0.5,0.5,0.8,0.6666666666666666,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.5714285714285714,0.42,0.52,0.62,0.7692307692307693,0.45454545454545453,0.5,0.56,0.46153846153846156,0.5,0.5648148148148148,0.5436507936507936,1
LOLTMNT01_126858,Jinx,Xin Zhao,Taliyah,Braum,Kennen,Senna,Viego,Hwei,Nautilus,Renekton,0.5,1.0,0.25,1.0,0.5,1.0,0.6,0.0,0.6,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.42,0.54,0.65,0.6666666666666666,0.58,0.3333333333333333,0.44,0.6,0.44,0.677536231884058,0.40942028985507245,1
LOLTMNT01_127707,Varus,Lee Sin,Hwei,Leona,Jax,Ezreal,Sejuani,Corki,Nautilus,Rumble,0.5714285714285714,0.5,0.6666666666666666,1.0,0.75,0.5,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.44,0.44,0.4473684210526316,0.62,0.2,0.5,0.5609756097560976,0.6,0.44,0.6142056690837179,0.31989247311827956,1
LOLTMNT01_127773,Ashe,Maokai,Corki,Leona,Skarner,Zeri,Sejuani,Taliyah,Nautilus,Camille,0.5,1.0,0.5,1.0,1.0,0.3333333333333333,0.7142857142857143,0.5,0.6666666666666666,0.5,0.4,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.36585365853658536,0.6,0.5476190476190477,0.45,0.7857142857142857,0.5,0.48,0.54,0.58,0.5625,0.5221288515406163,0.6547619047619048,0
LOLTMNT01_127798,Zeri,Maokai,Hwei,Lulu,Jax,Kai'Sa,Sejuani,Twisted Fate,Leona,Renekton,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.5,0.6,0.44,0.38095238095238093,0.62,0.4411764705882353,0.48,0.4,0.43902439024390244,0.44,0.4016624040920716,0.4688950459410817,1
LOLTMNT01_128234,Ashe,Maokai,Azir,Rell,Renekton,Jhin,Viego,Taliyah,Alistar,Ornn,0.5,1.0,0.8,0.5555555555555556,0.5,0.0,0.0,1.0,0.6666666666666666,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35714285714285715,0.62,0.54,0.46,0.42,0.3888888888888889,0.3225806451612903,0.54,0.5476190476190477,0.6363636363636364,0.5231481481481481,0.37730566534914356,1
LOLTMNT01_128284,Ashe,Maokai,Hwei,Nautilus,Skarner,Jhin,Sejuani,Tristana,Leona,Rumble,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.36363636363636365,0.64,0.44,0.58,0.7333333333333333,0.3684210526315789,0.46,0.5714285714285714,0.4418604651162791,0.42,0.5256850566313481,0.5611111111111111,0
LOLTMNT01_128299,Varus,Taliyah,Azir,Nautilus,K'Sante,Zeri,Sejuani,Yone,Rell,Rumble,0.8571428571428571,1.0,0.8333333333333334,0.8,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.52,0.54,0.58,0.34,0.52,0.48,0.5882352941176471,0.46,0.42,0.6796296296296296,0.49609450616124695,1
LOLTMNT01_128309,Corki,Ivern,Taliyah,Leona,Olaf,Senna,Karthus,Tristana,Nautilus,Vayne,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.16666666666666666,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.5333333333333333,0.5882352941176471,0.52,0.4666666666666667,0.59375,0.56,0.3333333333333333,0.58,0.58,0.5,0.5979166666666667,0.5512293806411454,0
LOLTMNT01_129203,Varus,Ivern,Hwei,Leona,Renekton,Ashe,Sejuani,Yone,Rell,Jax,0.6,0.5,1.0,1.0,0.5,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.52,0.5625,0.44,0.42857142857142855,0.44,0.37209302325581395,0.46,0.625,0.48,0.62,0.6281609195402299,0.4506617038875104,1
LOLTMNT01_129236,Sivir,Xin Zhao,Hwei,Nautilus,Skarner,Varus,Sejuani,Corki,Renata Glasc,Mordekaiser,0.5,0.7142857142857143,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.44,0.44,0.56,0.6875,0.52,0.48,0.5348837209302325,0.34615384615384615,0.5,0.35200138026224986,0.08333333333333333,1
LOLTMNT01_129239,Varus,Sejuani,Corki,Leona,Gwen,Ashe,Lee Sin,Hwei,Alistar,K'Sante,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.4,1.0,0.4,0.4,0.4,0.2,0.4,0.4,1.0,1.0,1.0,1.0,1.0,0.5,0.46,0.5227272727272727,0.45454545454545453,0.5238095238095238,0.35555555555555557,0.44,0.44,0.5348837209302325,0.36,0.3350877192982456,0.532051282051282,1
LOLTMNT01_130223,Ezreal,Karthus,Tryndamere,Nautilus,Rumble,Zeri,Ivern,Corki,Braum,Varus,0.5,1.0,0.5,0.2857142857142857,0.5,0.5,0.5,1.0,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.16666666666666666,0.42857142857142855,0.5,0.58,0.42,0.5,0.5555555555555556,0.5106382978723404,0.6818181818181818,0.54,0.5845432546884451,0.38690476190476186,1
LOLTMNT01_130228,Ezreal,Sejuani,Yone,Leona,Rumble,Varus,Maokai,Renekton,Rell,Kennen,0.5,0.14285714285714285,0.0,1.0,0.25,0.6666666666666666,0.5,0.5,0.0,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.23076923076923078,0.46,0.5555555555555556,0.4375,0.44,0.54,0.62,0.44,0.44,0.7142857142857143,0.47777777777777775,0.6555555555555556,1
LOLTMNT01_130235,Ezreal,Sejuani,Yone,Rakan,Rumble,Varus,Xin Zhao,Azir,Rell,Akali,0.5,0.5714285714285714,0.0,0.5,0.5,0.7,0.5,0.8333333333333334,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2857142857142857,0.46,0.5789473684210527,0.64,0.44,0.54,0.44,0.58,0.44,0.4166666666666667,0.4288194444444445,0.5337837837837838,1
LOLTMNT01_130244,Varus,Taliyah,Azir,Leona,Renekton,Ashe,Karthus,Tristana,Braum,Pantheon,0.0,0.5,0.6,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.54,0.5,0.58,0.4489795918367347,0.42,0.3617021276595745,0.5,0.6,0.6521739130434783,0.5,0.3648445385150562,0.5245098039215687,0
LOLTMNT01_130494,Ezreal,Sejuani,Hwei,Leona,Renekton,Varus,Taliyah,Yone,Nautilus,K'Sante,0.5,0.8,0.2857142857142857,0.0,0.6666666666666666,0.25,1.0,0.3333333333333333,1.0,0.5,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.3125,0.48,0.46,0.44,0.42,0.54,0.5,0.6,0.58,0.36,0.5219298245614035,0.49419400225851834,0
LOLTMNT01_130523,Corki,Lee Sin,Hwei,Leona,K'Sante,Ezreal,Taliyah,Tryndamere,Nautilus,Skarner,1.0,0.6666666666666666,0.5,0.6666666666666666,0.2857142857142857,1.0,0.0,1.0,0.375,0.5,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.6,0.8,0.8,0.5102040816326531,0.44,0.46,0.44,0.36,0.29411764705882354,0.5,0.5,0.6,0.7058823529411765,0.353425925925926,0.6104636591478697,0
LOLTMNT01_130531,Corki,Jax,Hwei,Rell,Aatrox,Varus,Sejuani,Yone,Nautilus,Fiora,0.5,0.6666666666666666,0.6,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.2,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.5,0.64,0.46,0.44,0.52,0.54,0.46,0.6190476190476191,0.6,0.5,0.4232643202208419,0.3567821067821068,0
LOLTMNT01_130550,Zeri,Skarner,Corki,Rell,Kennen,Xayah,Rumble,Tristana,Nautilus,Irelia,0.8,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.5,0.7222222222222222,0.5,0.42,0.625,0.5862068965517241,0.46,0.64,0.64,0.5,0.6125192012288786,0.5427170868347339,1
