gameid,Blue_bot_champion,Blue_jng_champion,Blue_mid_champion,Blue_sup_champion,Blue_top_champion,Red_bot_champion,Red_jng_champion,Red_mid_champion,Red_sup_champion,Red_top_champion,Blue_bot_player_champ_wr,Blue_jng_player_champ_wr,Blue_mid_player_champ_wr,Blue_sup_player_champ_wr,Blue_top_player_champ_wr,Red_bot_player_champ_wr,Red_jng_player_champ_wr,Red_mid_player_champ_wr,Red_sup_player_champ_wr,Red_top_player_champ_wr,Blue_bot_player_recent_form,Blue_jng_player_recent_form,Blue_mid_player_recent_form,Blue_sup_player_recent_form,Blue_top_player_recent_form,Red_bot_player_recent_form,Red_jng_player_recent_form,Red_mid_player_recent_form,Red_sup_player_recent_form,Red_top_player_recent_form,blue_win_label,patch,teamname_blue,teamname_red
LOLTMNT01_119080,Ezreal,Maokai,Corki,Ashe,Kennen,Jhin,Karthus,Jayce,Nautilus,Rumble,0.5,0.8333333333333334,0.75,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.6,0.6,0.6,0.6,0.6666666666666666,0.0,0.0,0.2,0.0,0.2,1,14.11,paiN Gaming Academy,Fluxo Academy
LOLTMNT01_119089,Ashe,Lee Sin,LeBlanc,Leona,Twisted Fate,Varus,Volibear,Ahri,Nautilus,Rumble,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,14.11,Los Grandes Academy,Tropa Raizen
LOLTMNT01_119107,Varus,Viego,Taliyah,Leona,Akali,Jhin,Lillia,Tristana,Nautilus,Camille,0.6666666666666666,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.2,0.3333333333333333,0.4,0.4,0.4,0.4,0.4,0,14.11,Flamengo Academy,FURIA Youth
LOLTMNT01_119127,Ashe,Nidalee,Corki,Alistar,Aatrox,Varus,Viego,Azir,Nautilus,Camille,0.5,0.5,1.0,1.0,0.5,0.75,0.0,1.0,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1,14.11,Rise Gaming,LOUD Academy
LOLTMNT01_119839,Varus,Viego,Hwei,Leona,K'Sante,Lucian,Xin Zhao,LeBlanc,Nami,Jax,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.2,0.2,0,14.11,INTZ Academy,Los Grandes Academy
LOLTMNT01_119888,Jhin,Taliyah,Tristana,Nautilus,K'Sante,Varus,Jarvan IV,Hwei,Rell,Rumble,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6,0.6,0.6,0.6,0.6,0.75,0.6,0.6,0.6,0.6,1,14.11,FURIA Youth,KaBuM! Academy
LOLTMNT01_119935,Ashe,Xin Zhao,Taliyah,Alistar,Rumble,Corki,Sejuani,Sylas,Nautilus,Camille,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.4444444444444444,1.0,0.75,0.75,0.75,0.6,0.75,0.8,0.8,0.8,0.8,0.8,0,14.11,Rise Gaming,Liberty Academy
LOLTMNT01_120003,Draven,Udyr,Hwei,Nautilus,Skarner,Nilah,Sejuani,Corki,Leona,Mordekaiser,0.75,0.5,0.25,0.375,0.5,0.5,0.5,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1,14.11,Liberty Academy,INTZ Academy
LOLTMNT01_120013,Kalista,Ivern,Tristana,Nautilus,Skarner,Varus,Karthus,Jayce,Leona,K'Sante,1.0,0.5,1.0,0.7777777777777778,0.5,0.5,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.4,0.4,0.4,0.4,0.6666666666666666,0.4,0.4,0.4,0.4,1,14.11,KaBuM! Academy,RED Academy
LOLTMNT01_120843,Ziggs,Ivern,Tristana,Leona,Renekton,Kalista,Taliyah,Yone,Rell,Twisted Fate,0.5,1.0,0.5,0.0,0.7142857142857143,1.0,0.5,0.5,0.3333333333333333,1.0,0.5,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.75,0,14.11,RED Academy,paiN Gaming Academy
LOLTMNT01_120885,Varus,Nocturne,Orianna,Rell,Rumble,Jhin,Jarvan IV,Ahri,Alistar,Camille,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.8,0.75,0.75,1,14.11,LOUD Academy,Ilha das Lendas
LOLTMNT01_120907,Corki,Nocturne,Orianna,Leona,Renekton,Varus,Maokai,Akali,Nautilus,K'Sante,0.5,0.5,0.4,1.0,0.0,0.75,1.0,0.5,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.75,0.75,0.6,0.6,1,14.11,Fluxo Academy,Vivo Keyd Stars Academy
LOLTMNT01_120912,Varus,Rek'Sai,Ahri,Nautilus,Twisted Fate,Ashe,Sejuani,Hwei,Alistar,Camille,0.6666666666666666,0.5,1.0,0.5,0.5,0.5,0.2,0.5,0.5,1.0,0.4,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.25,1,14.11,Tropa Raizen,Flamengo Academy
LOLTMNT01_126307,Jinx,Vi,Ahri,Leona,Skarner,Zeri,Xin Zhao,Taliyah,Nautilus,Rumble,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.2,0.6,0.2,0.2,0.2,0.8,0.8,0.8,0.8,1.0,1,14.11,KaBuM! Esports,INTZ
LOLTMNT01_126335,Varus,Maokai,Azir,Nautilus,K'Sante,Ashe,Sejuani,Ahri,Braum,Renekton,0.8571428571428571,0.8,0.6,0.6363636363636364,0.5,0.5,0.4,0.5,1.0,0.5,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1,14.11,LOUD,Los Grandes
LOLTMNT01_126366,Xayah,Sejuani,Hwei,Rakan,Camille,Lucian,Xin Zhao,LeBlanc,Nami,Urgot,0.6666666666666666,1.0,0.75,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.4,0.5,1,14.11,RED Canids,FURIA
LOLTMNT01_126394,Jhin,Maokai,Tristana,Rell,Twisted Fate,Jinx,Taliyah,Corki,Nautilus,K'Sante,1.0,1.0,0.5,0.3333333333333333,0.0,0.8,0.5,0.5,0.6,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,1,14.11,Fluxo,Vivo Keyd Stars
LOLTMNT01_126415,Jhin,Kindred,Hwei,Rell,Darius,Varus,Jarvan IV,Ahri,Alistar,Twisted Fate,0.0,0.5,0.0,1.0,1.0,0.4,0.5,0.75,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0,14.11,Liberty,paiN Gaming
LOLTMNT01_126779,Xayah,Xin Zhao,Azir,Rakan,Skarner,Kai'Sa,Vi,Taliyah,Leona,Aatrox,0.5714285714285714,0.16666666666666666,0.5555555555555556,0.8333333333333334,0.5,0.5,0.8,0.6666666666666666,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,1,14.11,paiN Gaming,RED Canids
LOLTMNT01_126858,Jinx,Xin Zhao,Taliyah,Braum,Kennen,Senna,Viego,Hwei,Nautilus,Renekton,0.5,1.0,0.25,1.0,0.5,1.0,0.6,0.0,0.6,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,14.11,Fluxo,Liberty
LOLTMNT01_127707,Varus,Lee Sin,Hwei,Leona,Jax,Ezreal,Sejuani,Corki,Nautilus,Rumble,0.5714285714285714,0.5,0.6666666666666666,1.0,0.75,0.5,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,1,14.11,Vivo Keyd Stars,Los Grandes
LOLTMNT01_127773,Ashe,Maokai,Corki,Leona,Skarner,Zeri,Sejuani,Taliyah,Nautilus,Camille,0.5,1.0,0.5,1.0,1.0,0.3333333333333333,0.7142857142857143,0.5,0.6666666666666666,0.5,0.4,0.6,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0,14.11,KaBuM! Esports,LOUD
LOLTMNT01_127798,Zeri,Maokai,Hwei,Lulu,Jax,Kai'Sa,Sejuani,Twisted Fate,Leona,Renekton,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,1,14.11,FURIA,INTZ
LOLTMNT01_128234,Ashe,Maokai,Azir,Rell,Renekton,Jhin,Viego,Taliyah,Alistar,Ornn,0.5,1.0,0.8,0.5555555555555556,0.5,0.0,0.0,1.0,0.6666666666666666,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,14.11,LOUD Academy,Fluxo Academy
LOLTMNT01_128284,Ashe,Maokai,Hwei,Nautilus,Skarner,Jhin,Sejuani,Tristana,Leona,Rumble,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0,14.11,KaBuM! Academy,Tropa Raizen
LOLTMNT01_128299,Varus,Taliyah,Azir,Nautilus,K'Sante,Zeri,Sejuani,Yone,Rell,Rumble,0.8571428571428571,1.0,0.8333333333333334,0.8,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,14.11,paiN Gaming Academy,FURIA Youth
LOLTMNT01_128309,Corki,Ivern,Taliyah,Leona,Olaf,Senna,Karthus,Tristana,Nautilus,Vayne,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.16666666666666666,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0,14.11,Ilha das Lendas,Rise Gaming
LOLTMNT01_129203,Varus,Ivern,Hwei,Leona,Renekton,Ashe,Sejuani,Yone,Rell,Jax,0.6,0.5,1.0,1.0,0.5,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,1,14.11,Vivo Keyd Stars Academy,RED Academy
LOLTMNT01_129236,Sivir,Xin Zhao,Hwei,Nautilus,Skarner,Varus,Sejuani,Corki,Renata Glasc,Mordekaiser,0.5,0.7142857142857143,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1,14.11,Flamengo Academy,INTZ Academy
LOLTMNT01_129239,Varus,Sejuani,Corki,Leona,Gwen,Ashe,Lee Sin,Hwei,Alistar,K'Sante,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.4,1.0,0.4,0.4,0.4,0.2,0.4,0.4,1.0,1.0,1.0,1.0,1.0,1,14.11,Los Grandes Academy,Liberty Academy
LOLTMNT01_130223,Ezreal,Karthus,Tryndamere,Nautilus,Rumble,Zeri,Ivern,Corki,Braum,Varus,0.5,1.0,0.5,0.2857142857142857,0.5,0.5,0.5,1.0,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.4,1,14.11,Rise Gaming,Los Grandes Academy
LOLTMNT01_130228,Ezreal,Sejuani,Yone,Leona,Rumble,Varus,Maokai,Renekton,Rell,Kennen,0.5,0.14285714285714285,0.0,1.0,0.25,0.6666666666666666,0.5,0.5,0.0,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,14.11,FURIA Youth,Vivo Keyd Stars Academy
LOLTMNT01_130235,Ezreal,Sejuani,Yone,Rakan,Rumble,Varus,Xin Zhao,Azir,Rell,Akali,0.5,0.5714285714285714,0.0,0.5,0.5,0.7,0.5,0.8333333333333334,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,14.11,RED Academy,LOUD Academy
LOLTMNT01_130244,Varus,Taliyah,Azir,Leona,Renekton,Ashe,Karthus,Tristana,Braum,Pantheon,0.0,0.5,0.6,1.0,0.25,0.5,0.5,0.5,0.5,0.0,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0,14.11,Fluxo Academy,Ilha das Lendas
LOLTMNT01_130494,Ezreal,Sejuani,Hwei,Leona,Renekton,Varus,Taliyah,Yone,Nautilus,K'Sante,0.5,0.8,0.2857142857142857,0.0,0.6666666666666666,0.25,1.0,0.3333333333333333,1.0,0.5,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0,14.11,LOUD Academy,FURIA Youth
LOLTMNT01_130523,Corki,Lee Sin,Hwei,Leona,K'Sante,Ezreal,Taliyah,Tryndamere,Nautilus,Skarner,1.0,0.6666666666666666,0.5,0.6666666666666666,0.2857142857142857,1.0,0.0,1.0,0.375,0.5,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.6,0.8,0.8,0,14.11,Fluxo Academy,Rise Gaming
LOLTMNT01_130531,Corki,Jax,Hwei,Rell,Aatrox,Varus,Sejuani,Yone,Nautilus,Fiora,0.5,0.6666666666666666,0.6,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.2,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0,14.11,Flamengo Academy,Los Grandes Academy
LOLTMNT01_130550,Zeri,Skarner,Corki,Rell,Kennen,Xayah,Rumble,Tristana,Nautilus,Irelia,0.8,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,1,14.11,Vivo Keyd Stars Academy,Tropa Raizen
LOLTMNT01_132190,Kalista,Lee Sin,Brand,Leona,Zac,Varus,Jax,Hwei,Rell,Aatrox,0.5,0.0,1.0,0.5,1.0,0.5714285714285714,0.5,0.5,0.0,0.5,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0,14.11,Liberty Academy,Flamengo Academy
LOLTMNT01_132209,Ezreal,Sejuani,Corki,Leona,Rumble,Ashe,Viego,Azir,Braum,Ornn,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.8571428571428571,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0,14.11,Tropa Raizen,paiN Gaming Academy
LOLTMNT01_132500,Varus,Sejuani,Tristana,Alistar,Rumble,Kalista,Lee Sin,Taliyah,Rell,Renekton,0.5,0.6666666666666666,0.6666666666666666,0.5,0.0,0.42857142857142855,0.0,0.6,0.5,1.0,0.4,0.6,0.4,0.4,0.2,0.6,0.6,0.6,0.6,0.6,1,14.11,KaBuM! Academy,Liberty Academy
LOLTMNT01_132517,Kai'Sa,Udyr,LeBlanc,Nautilus,Aatrox,Zeri,Sejuani,Ezreal,Rell,Rumble,0.5,1.0,1.0,0.5,1.0,1.0,0.625,0.5,0.2,0.6666666666666666,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,14.11,Ilha das Lendas,RED Academy
LOLTMNT01_132526,Nautilus,Lillia,Yone,Senna,Tristana,Zeri,Sejuani,Hwei,Leona,Twisted Fate,0.5,0.5,1.0,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,1,14.11,paiN Gaming Academy,INTZ Academy
LOLTMNT01_146943,Miss Fortune,Maokai,Azir,Alistar,Aatrox,Jhin,Zyra,Corki,Rell,Jayce,0.0,0.3333333333333333,0.3333333333333333,0.6,0.5454545454545454,1.0,0.5,0.8571428571428571,0.6,0.5,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0,14.14,Liberty Academy,paiN Gaming Academy
LOLTMNT01_147953,Zeri,Sejuani,Gragas,Bard,Renekton,Kog'Maw,Vi,Tristana,Milio,Rumble,0.0,0.5,1.0,0.5,0.3333333333333333,0.5,0.5,0.8,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0,14.14,Liberty Academy,paiN Gaming Academy
LOLTMNT01_149305,Zeri,Brand,Corki,Leona,Gnar,Kai'Sa,Zyra,Lucian,Alistar,K'Sante,0.6,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.5,1,14.14,FURIA Youth,LOUD Academy
LOLTMNT01_149321,Miss Fortune,Maokai,Taliyah,Nautilus,Renekton,Xayah,Sejuani,Hwei,Rell,Jax,0.5,1.0,0.36363636363636365,0.625,0.5,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0,14.14,LOUD Academy,FURIA Youth
LOLTMNT01_149355,Ashe,Nidalee,Ezreal,Nautilus,Renekton,Varus,Brand,Lucian,Leona,Gnar,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.0,0.8,0.6666666666666666,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,1,14.14,Vivo Keyd Stars Academy,KaBuM! Academy
LOLTMNT01_149363,Kai'Sa,Maokai,Tristana,Alistar,Camille,Zeri,Karthus,Jayce,Rakan,K'Sante,1.0,0.5714285714285714,0.75,0.6666666666666666,0.5,0.8571428571428571,0.5,1.0,0.6,0.3333333333333333,0.4,0.4,0.4,0.4,0.4,0.8,0.75,0.8,0.8,0.8,1,14.14,KaBuM! Academy,Vivo Keyd Stars Academy
LOLTMNT01_150012,Ashe,Karthus,Zed,Rell,Renekton,Ezreal,Ivern,Azir,Alistar,Gnar,0.4,0.6666666666666666,0.5,0.6666666666666666,0.0,1.0,0.0,0.75,0.0,0.5,0.6,0.6,0.6,0.4,0.6,0.8,0.6,0.8,0.8,0.8,0,14.14,Rise Gaming,Ilha das Lendas
LOLTMNT01_150017,Miss Fortune,Lee Sin,Ahri,Galio,Kennen,Ziggs,Vi,Tristana,Leona,Rumble,0.5,1.0,0.5,0.5,0.5,0.0,0.6,1.0,0.5,0.6666666666666666,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,1,14.14,Ilha das Lendas,Rise Gaming
LOLTMNT01_150352,Smolder,Vi,Twisted Fate,Rell,Aatrox,Miss Fortune,Sejuani,Yone,Tahm Kench,Jax,0.75,1.0,0.5,0.7142857142857143,0.7142857142857143,0.5,0.6666666666666666,1.0,0.5,1.0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0,14.14,Vivo Keyd Stars Academy,KaBuM! Academy
LOLTMNT01_151712,Zeri,Maokai,Azir,Nautilus,Olaf,Ezreal,Zyra,Tristana,Rell,Renekton,0.5,0.5555555555555556,0.45454545454545453,0.5,0.16666666666666666,0.5,1.0,0.8,0.5555555555555556,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0,14.14,Liberty,Vivo Keyd Stars
LOLTMNT01_151735,Ezreal,Sejuani,Azir,Leona,Renekton,Ashe,Lee Sin,Taliyah,Braum,Kennen,1.0,0.6666666666666666,0.75,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0,14.14,LOUD,FURIA
LOLTMNT01_151744,Jhin,Maokai,Lucian,Bard,Rumble,Zeri,Brand,Ezreal,Alistar,K'Sante,0.5,0.9166666666666666,0.5,0.5,0.8,0.25,0.5,0.5,0.0,0.5,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,1,14.14,paiN Gaming,INTZ
LOLTMNT01_151764,Ashe,Jarvan IV,Tristana,Braum,Rumble,Xayah,Lillia,Azir,Rakan,K'Sante,0.0,0.5,0.5,0.5714285714285714,0.5,0.625,1.0,0.0,0.6666666666666666,0.5,0.4,0.4,0.4,0.4,0.4,1.0,1.0,1.0,1.0,1.0,0,14.14,Fluxo,RED Canids
LOLTMNT01_151828,Jhin,Brand,Ezreal,Nautilus,Jayce,Ashe,Shyvana,Yone,Leona,Gragas,1.0,0.8333333333333334,1.0,0.5555555555555556,0.5,0.0,0.5,0.0,0.0,0.5,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0,14.14,KaBuM! Esports,Los Grandes
